tweet,labels;
donatur pak jokowi mulai hijrah ke prabowo dana pensiunan terancam dipakai nyapres wakwaw dukung perpu ormas,2;
anda jika merasa tersingung jangan teriak di twiterlaporin sana ke polripaling juga ditolakwong deliknya jelas kok agama manawaktu ahok menista,2;
kamu menyindir pak adik gantipresiden,2;
wahai kader ku seng pekok pbc partai bondo cocot dari sabang sampai meraukekader ku seng pekok ndewek wes kentean peluru pokoe isu tka iki seng empuk kerja menyerang presidenbiasa ndewek mangan enak di zmn pakai jokowi saiki susah tuku lob,2;
teriakteriak partai komunis indonesia ganyang kamu sholat tidak mengaji tidak kamu punya tuhan jangan kamu sendiri partai komunis indonesia,2;
engak perlu soksokan kali mau mengurus lahan yang lain pak cak lah urus dulu wakilmu itu deh betul baru lah kok ikut pemilihan kepala daerah lagi iya pilgubsu sumut register bajaktanah djarotcalonapi pemilihan kepala daerah,2;
bani kacung kafir bahkan ketawa lihat twit ini iya cung,2;
kalau cebong pasti memuji prestasi nya presiden jokowi nkalau sialan pasti nyinyir kalau perlu pakai bumbu fitnx,2;
cebong girang di kibulin najis kamu bong mata kamu picek,2;
pakai pantat itu tertawa pantat teriak pantat nrocky gerung profesor laku di indonesia tong mempercayai cuma kaum sialan dan gembel warnet otaknya sama di pantat tertawa,2;
ujaran kebencian melalui perangkat digital sudah terjadi sejak zaman surabaya surabaya cukup mengklarifikasi informasi sesat sekarang main tangkap,2;
bagaimana perasan walubi jika umat budha di indonesia di usir dan di bantai,2;
bila diktator jokowi serius mau dewan perwakilan rakyat bersih korupsi,2;
mau bantu muslim rohingya bilang siapasiapa entar dibilang pencitranapalagi tahu,2;
prabowo itu anaknya pembrontak,2;
cukup polisidan cukup pengadilan utuk menegakan hukum bila tidak didukung oleh rakyatjokowi lah bikin rakyat resahlengserkan,2;
iya faktanya partai komunis indonesia,2;
bismilahirohmanirohim niat ridho amp ikhlasaya berjanji jika jokowi kalah di pilpres akan sujud syukur di tengah alunalun majalengka amp mengibarkan bendera merah putih di panyaweyan semoga umur saya panjang menunaikan,2;
ebonk suka banget hebohin hal tidak menarik pohon plastik lah bambu lah giliran isue besar seperti ekonomi anjlok tka ilegal merajalele ketahanan nasional mereka mingkem memang kapasitas otaknya kecil kali iya bisa cerna isue besar,2;
berlebihan benar duda ini iya,2;
semakin dibuka semakin kelihatan kebohongan jokowi lakukan bahkan terhadap rakyat kecil sekalipun pantaskah seorang penipu seperti ini dijadikan pemimpin,2;
se dengan lbp kpu perlu tetapkan cukup tema saja misalnya gantipresiden presidenbaru luhut kepada prabowo jika maju tidak perlu bawa tema agama,2;
besok kalau prabowo jadi nyapres dan teriakteriak masalah indonesia bebas korupsi jangan dipercaya iya nyatanya fadli bodoh dimarahi itu,2;
jika bapaknya di bunuh partai komunis indonesia biasanya anaknya balas dendam dan seharusnya usir komunis cina bukanya di buatkan reklamasi,2;
uhuk pks antek komunis uhuk,2;
isueisue partai komunis indonesia sudah muncul sehubung pemilihan presiden mulai dekat itu bentuk kampanye murahan,2;
beri anak bangsa pendidikan baik jangan jadikan robot penyembah alah swt merintahkan perangi bunuh kafir,2;
ucapan yang penting untuk di dengar buat indonesia maju,2;
noh pengusaha mau lengserkan jokowi tidak di tangkap makar pak polisitakut iya,2;
mantap selamat gantipresiden presidenbaru,2;
ketololan haq ditampilkan bong kalah menyolot tolol tidak bisa diobati,2;
universitas islam rohingya di maungdaw dibakar teroris budha,2;
itulah salah satu propaganda kaum komunis gaya baru jadi sudah jelas jokowi bagian dari gerombolan lengserkan jokowi,2;
itu jika benaran otoriter sebagaimana dilabelkan pulangpulang nama itu,2;
cebong mana mengerti koplakoplak,2;
alquran dan sunah merintahkan perangi kafir berakibat memecah belah bangsa,2;
nanti rakyat demo bubarkan dewan perwakilan rakyat sih jago korupsi,2;
masalah dunia dan masalah nafsu iya kang kata kok bersayap seperti burung hantu,2;
daya beli turun data kemiskinan di olah harga naik tidak terjangkau kebutuhan hidup rakyat makin sulit kesenjangan semakin lebar hutang bengkak tidak karuan bagi jabatan terus terjadi aset negara di jual tka banjir,2;
btp the best abaikan kaum sialan otak micin,2;
pasti memilih dewan perwakilan rakyat yang harus di bubarkan,2;
besok kalau prabowo nyapres lagi dan teriakteriak lagi masalah pendidikan jangan dipercaya iya sekolah dibakar dia bangunin,2;
perduli replyku menyambung apa engak penting gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden gantipresiden,2;
jadi gub sudah nabrak etika kalo menjabat memang lantik dia jadi gub dukun iya capres tidak senang presiden menjabat iya mau dilantik beliau jangan cagub nanti kalo dia dukung jadi presiden nyagub,2;
angota dewan perwakilan rakyat ini tudak malu banyak korupsi tidak mau digangu,2;
he aktif kok sudah berpolitik surabaya mundur dulu mundur pak jenderal gatot,2;
jika mungkin kami menyampaikan bapak kekalahan karena adanya upaya penghalalan segala cara di lakukan oknum pendukung,2;
jokowi mundur lebih jantan,2;
rezimrezim komunis memang biadab tidak ada satu pun rezim komunis berbudaya catet itu bukan partai komunis indonesia korbanya,2;
jangan pakai lama lengserkan sih jokowi,2;
cebong eh berudu seolah terfait acomplianies nyapres atau tetap gubernur hidup tetap tenang nikmat banget aku deh jika begini buat mainin cebong,2;
polri memeriksa anies sandi sudah jelas terlibat dalam saracen membatalkan pengangkatan sesuai hukum berlakuser,2;
presiden boros dan foyafoya rakyat menderita jokowi presiden pilihan taipan sih gantipresiden,2;
edan kapolri isu rohingya digoreng untuk menyerang pemerintahan jokowi,2;
alumni pks dan tim sukses anies sandi ramerame buang body tidak mengenal asma dewi,2;
itu cewek pakai kerudung mengapai iya setiap kali konfrensi pers ada pencitran islami kali bwahaha,2;
suruh tka china yang menonton ke stadion jangan lupa bawa bendera nmerah putih sama bendera china,2;
ingin nkri tetap eksis terbebas serbuan tka china mari umat islam indonesia bersatu ganti presiden di gantipresidenyuk presidenbaru,2;
bani sialan iya begitulah nafsu berkuasa saja lalu korupsi berjamah seperti kader pks gubernur sumut,2;
buat kader pekok ini hitung buat tagar gantipresiden lebih dari mulut jangan asal jeplak ye bisa jadi moncong putih akan nyungsep,2;
rohingya kok seolaholah dijadikan alat politik oleh prabowo,2;
kalau diklaim pemerintahnya gagal tangani banjir dan warga miskin meningkat eksekutif dan legislatif itu sama bodoh,2;
copras calon presiden indak mikir indak mikir indak mikir apa sih kowi periode babak belur,2;
dulu ngacir waktu di datangi oleh ulama dan jamah siapa iya dulu nembakin gas air mata ke arah ulama dan jamah cara membabi buta siapa iya diam sat ulama di fitnah bahkan di teror habisan siapa iya gantipresiden,2;
mungkin dimulai lepas politik label antek orba kanan fundamentalis,2;
napadah shope kampang,2;
sang gubernur sibuk jalan sang wagub sibuk mau nganti presidenjadi iya sudahlah,2;
di bubarkan siapa mberantas korupsi pak jelas korupsi merajalela apalagi di dewan perwakilan rakyat,2;
deh pikun dia prokorupt,2;
ini sudah termasuk teror bukan aparat inimah tapi keparat politik bahasanya mafia politik hatihati bos kami tidak takut ancaman intimidasi demokrasi polri ncat nuser,2;
partai komunis indonesia adalah cara soeharto menyingkirkan soekarno sekarang mau ditiru oleh prabowo mungkin karena masih menantu,2;
bak sampah jerman anis diresmikan wc keliling gunting pitanya iya nis,2;
antek aseng komunis kapitalis,2;
mungkin saja blok cina rusia mensyaratkan berdirinya kgb di indonesia agar kerjasama makin yahut,2;
tolak perpu tolak rezim otoriter perpu pintu masuk lengserkan jokowi,2;
cebong itu isi kepalanya kan taikmana ada cebong mikirnya waras,2;
wah dimana ini setuju jika perlu di usir cina dari negeri ini,2;
dan orang enggak bisa berpikir lurus itu dipelihara jokowi dalam berbagai organisasi terbayang kacaunya indonesia nanti aduh,2;
kebanyakan fitnah ini mpok silvy debatfinalpilkadajkt aku,2;
partai kunyuk,2;
median mayoritas rakyat tidak ingin jokowi jadi presiden lagi gantipresiden,2;
pks paguyuban sialan sarap,2;
bocah nekat jancok suporter suci di indonesia pernah maling gorengan dan pernah jarah warung nbonek jancuknsory rasis enggak kuat menahanx,2;
yaelah chat kamu mengurusi noh sudah mesum angotadpr mingkem nyata selingkuh kalian pura budek bong sampai otaknya,2;
jelas otak ahokdjarot sudah sangat tumpul sangat loyo dan stres sudah jebol harus dicopot dan diganti,2;
korupsi ktp terjadi pada jaman surabaya pak tengku,2;
satnya usir penjajah cina bumi indonesia,2;
keypoint cebong dungu aku sekolam ngeyel akhirnya nya balik ke kolam pokoknya gantitrus apa lagi iya,2;
lah kamu umat apa umat iblisintinya adalah ada ribuan orang dirugikan oleh bajingan sialan kok iya masih ada belagitu,2;
biasa lah prof kaum kambing bengek iya begitu beda dikit dibilang cebong mengakak wes,2;
siapapun pasangan beliau asal bukan jokowi aku coblosankeberanian prabowo sampai separoh ini bapak,2;
tidak mau mengajak plh jokowi pasti idiot,2;
fahri hamzah bela prabowo masalah pertolongan pemerintah jokowi ke rohingya bubarkan partai komunis indonesia bubarkan partai komunis indonesia,2;
wahai kamu yang menolak reklomasi mari tuntut untuk batalkan reklamasi via,2;
kejadian diatas bisa kita simpulkan bahwa rezim jokowi hari ini memang anti islam dan profesional kapitalis penghapusan politicid,2;
bandung tidak butuh event tiap wekend atau tiap tangal merah macet bangsad,2;
tokoh islam prabowonpartai islam gerindrankntl,2;
pelupa otak mulai menyambung,2;
wah berarti bapak mendukung orang yang buang sampah sembarangan ini dari pada orang yang memproteksi lautan rakyat indonesia bapak ijazah nya beli,2;
juga bani onta kaum bumi datar,2;
itu baru di sul teng ini ekses akibat tersandera hutang china gantipresiden presidenbaru tetapjokowiganti,2;
saya rasa jika beliau bebas jadi bahan gorengan buat sahabatnya taulah kaum cebong kerjanya,2;
teriak bubarkan partai komunis indonesia itu bagai orang yang pulsa listrik rumahnya habis tetapi bahkan mengutuk semua orang karena ketidaktahuanya sendiri,2;
salah satu yang saya duga tetap akan dipakai menjegal jokowi jokowi membela ahok sih penista agama,2;
cina kembali gelontorkan dana ke filipina untuk perang marawi,2;
wargapribumiasli ternyata tenaga ilegal tka merambah keseluruh pelosok nusantara termasuk di ntbnwaspadalah waspadalahngergaji gantipresiden,2;
dulu ada bilang presiden suharto lengser negeri ini akan kacau ternyata jokowi yang merusak indonesia,2;
unch enak nya jadi bapak surabaya korupsi terus,2;
begitu aku habis pikir pengikutnya masih berasa paling bermoral padahal bohong itu biangnya segala dosa loh,2;
agama tidak bisa jadi pemersatu bangsa agama mbangun manusia sadar akan bangsa tidak mungkin sembah alah swt,2;
teori benar tiori ini pasti bani Cuma miscall asal mangap yang masuk racun iya,2;
wajarlah cebong tambah gila akibat bela sih kodok buat indonesia hancur lebur,2;
tgb lebih baik moeldoko apalagi prof mahfud akan banyak jadi cebong kampretahoker sialan,2;
kan janji pak deh tepati adalah juta lapangan kerja tapi bukan untuk rakyatapi untuk tka cina,2;
sembuh sembuh dungu nya mereka kanda,2;
papamintaketuafraksi rakyat mau nya setya novanto keluar dari dewan perwakilan rakyat bukan di pecat dari ketua dewan perwakilan rakyat percuma saya di pecat dan masih ada di dewan perwakilan rakyat,2;
bagaimana jika kapolri pensiun dini saja ketimbang punya ketegasan memimpin polri pada akhirnya aduan ini jadi korban terabaikan,2;
lebih baik mundur jika tidak sangup makmurkan rakyat,2;
ngomong-ngomong sih ratu tiru afi hinayah yang diundang jokowi ke istana posting tiru lagi yes entar mengancam mau bunuh diri iya alah,2;
bingung mau pakai cara apa untuk kampanye sampai buat fitnah yang seperti begituan depresi iya takut kalah iklanahokjahat,2;
usir cina nkri wni keturunan cina diskrening dulu,2;
bersabar berdoa usaha ikhtiar mudahmudahan sebentar lagi gantipresiden pakai contekan pakai plangaplongo,2;
yang membuat kami rugi bukan jonru mas tapi jokowi memang utang hampir buat rakyat garam naik situ tahu,2;
tidak ada persatuan dengan para partai komunis indonesia silakan rekonsiliasi dengan cebong yang dungu sekolam,2;
hanya pemerintah dan negara komunis mengakui pancasila tidak bertuhan yang tidak peduli amanat penderitan rakyat,2;
eh toilet fifis onta melipir lagi ini di indonesia lho gerombolan kamu mabok budaya arab nya seperti,2;
cina apa hak kamu melarang,2;
namanya kecebong anaknya kodok bapak nya presiden hadekh presiden planga plongo,2;
sebab tahun demi tahun semakin kurang peluang pekerjan untuk rakyat sendiri warga asing semua deh bodoh sektor sex,2;
toh kita bukan negara satu agama akan hilanglah budaya itu cuma karena pengaruh satu agama kecuali sih mayoritas ini masih seperti sekarang sih rese maksamaksa orang yang tidak satu agama sekalipun,2;
namanya juga sandirawa para pecundang bubarkan kalau urus kasus ecek berani urus blbi rsw,2;
namanya pri susah gampang partai komunis indonesia,2;
pak sehat jalanjalan pak yang aktif lho menebar kebaikan seperti presiden ri jangan mangung di kandang terus bosan ketemunya fadli zon,2;
pak muslim anda harus dintrogasi mengatakan tuhan menciptakan segala sesuatunya berpasangan,2;
tolol itu banyak bela penista agama walau sudah tersangka,2;
hijrahlah terlambatnsaya yakin semua akan menjadi cebong,2;
makanya saracen mca pasnasbung cuci otak rinso isis group onta kehabisan akal otak dungu apa rakyat masih bisa ditipu,2;
benamkan dan rezim anti islam,2;
prabowo elite politik kita goblog bermental malingnfadli pemimpin plangaplongonanak buah dan junjunganya sama saja bicara selalu abu ntak mau tunjuk siapa elite itunsemua orang juga bisa mengomong dengan ada arah dan tujuan,2;
salah sendiri memilih gubernur diusung isu sara,2;
rasanya nyabu mas,2;
pekerja cina proyek jalan tol lempar bendera merah putih cuma dihukum hormat bendera amp di deportasi lah,2;
seandainya prabowo presiden konflik rohingya jadi apa jadi jelas semuanya ditipu oleh prabowo,2;
sudah kebuka satu demi satu kebusukab kubu anies sandi menang dengan tanpa berkah dan prabowo berusaha cuci tangan,2;
orang kristen sok tahu islam amat lunklo tahu tentang islam perlu komen kamu sunat dulu sono baru komen,2;
gila kamu ndropelepasaxc xb saham disamakan proklamasi kemerdekansaking pinternya merangkai kata atao keblinger ini bani onta,2;
rezim ini benar dikuasai oleh oknum antislam,2;
mabuk pil pc,2;
menagama jangan hanya omong doang mengumumkan ayat rampasan halal alah swt janjikan rampasan salah harus dibuang,2;
warisan presiden periode sebelumnya hasilnya berapa album lagu kader nya korupsi berjamah sekarang lagaknya sera,2;
terkutuk maling negarakarma hampiri kalian,2;
ijazah mu apa sih paling tingi cek dan bedakan antara permesta semesta,2;
ini ada kebelet periode kelakuan seperti sok gantipresiden insya alah prabowori,2;
jonru ini di lindungi sama kelompok prabowo subianto cs polisi enggak berani menghukum orang ini dan bebas pergi kmna,2;
pak saya harap anda membuktikan islam damai dan terbuka seperti yang selalu anda katakan,2;
jadi bangsa yang pecundang jika begitu saja jika jadi cukong dan antek asing,2;
usir budha dari tanah jawa,2;
sejak jokowi presiden indonesia makin mundur,2;
nanti ada baju muslim bertuliskan gantipresiden prabowopresiden,2;
tiap hari komen di fb pakai template sama rezim partai komunis indonesia rezim antislam rezim penjilat cina dsb,2;
selamat pagi pak ngertikan gantipresiden,2;
berbanding lurus kebijakan rezim ini bermesran dengan cina produsen terbesar narkotika masuk ke indonesia,2;
mantan koruptornyalegnapa partai politikntak berfikirnitu bisa menurunkancitra partaingeblek amat,2;
beda sama rejim mukidi planga plongo,2;
kader ada fitnah jokowi antek komunis contoh tahu siapa mainkan isu partai komunis indonesia,2;
suruh pakai mata uang china suruh pakai plodukploduk kamu china suruh belajar bahasa china suruh jadi pembantunya china kami pribumi ini negara dan tumpah darah kami pribumi woi kamu kamu mimpi kamu gantipresiden,2;
ganti sama prabowo kelasnya hanya dubes,2;
akhirnya kata ajaib kaum onta muncul juga,2;
partaipartai pembuat gaduhnya oposisi berhenti membuat gaduh jaman surabaya mereka diam korupsi aman,2;
hajar ndan ganyang partai komunis indonesia,2;
nyerah sudah ini rezim rusak semuanya ganti presiden,2;
cebong mikir sampai segitu buat buat jalan berapa tuhnhabis buat jadi satuan pengamanan rupiah,2;
ada apa dengan mayoritas etnis china di dkinmengapa begitu solid mendukung penista agama islamndendamntidak nasionalis,2;
apakah anda jujur menabikan muhamad catut nama tuhan legalkan kejahatanya pak lukman,2;
ngerusak jadwal kamu katanya mau teknisi kerumah dari pagi sore ditunguin kacau deh,2;
mari rebut kembali posisi untuk pekerja lokal tkacinatakterkendali mayday hariburuh gantipresiden gantipresiden,2;
begitulah manusia rakus kekuasan segala cara dihalalkan tidak mau memilih nya,2;
anies sandi bakal berani yakin,2;
bwahahahahagw suka jika deh lihat cebong ngamuk khas cebong banget kalah debat ngamuk ngamukcung kacungx gantipresidenkacung,2;
eh yang benar ini pak orang tuanya kafir wah pilih beliau ah,2;
saya sih berharap para cebong itu demo dan melaporkan atas dugan penistan agama mereka supaya dunia meliat gerombolan dungu selama ini bersembunyi didumay dan diketiak penguasa surambray,2;
betulanak anak partai komunis indonesia mulai muncul mengikuti jejak bapaknya,2;
mentertawakan ajaorang munafik mah kerjanya bgtpendukung wan abud asu semuax cx,2;
setya novanto pengin mati eh ya sudah sih mati sono,2;
selamat datang rezim komunis anti islam,2;
kelihatan bodohnya wkwkwkwk menulis ada prabowo digambar goreng isu spki,2;
dukung saja pak adik ahok anda dukung juga kan rakyat sudah semakin fahamcerdasmana pembual mana pemimpin,2;
saya yakin mereka komunis zionis yahudi,2;
buat kacau kekacauan dimana mana di indonesia dan kriminal ilegal mati kamu,2;
nu bodong sas dukung jokowi jika nu garis lurus hasyim azhari akan dukung jolowi,2;
mari kita ganyang partai komunis indonesia dari nkri,2;
muslim indonesia maju berhenti sembah alah swt mengoceh saya jatuhkan ketakutan ke hati orang kafir,2;
sedih ustad lihat nasib anak negeri punya pemimpin kacung dan aparat keparat,2;
serius ini rezim anti islam suka jokowi boleh tapi jangan mengajak umat islam membenci jokowi,2;
halah cebong bani taplak ahok mau remisi sampai sgtunya di cipinang dong penjaranyanadek sayang semua orang berani ngadepin hukum awal even itu hasilnya bersalah atau enga perlu pura bodoh perlu dingetin siapa kabur,2;
mari awasi sekeliling kita masingmasing menjelang jika ada aktifitas antek komunis laporkan ke ulama dan tni ganyang partai komunis indonesia,2;
kalau ahok mnjbat gubernur di labrak itu rumah sakit,2;
bukan kebetulan kalau setelah reformasi bergulir hampir semua media di indonesia dikuasai oleh nonmuslim moral masyarakat makin hancur,2;
jika mau indonesia ini kembali damai usir cina dari indonesia,2;
usir cina partai komunis indonesia dari nkri,2;
paham kan hukum menuduh pelacur anurbegini ini islam apa kafir ini tugas ulama malah mengompori,2;
kalian buta hati bukan lagi buta mata apa lihat tenaga kerja aseng ilegal berkeliaran di negeri ini dungu kamu piara,2;
terlihat salah satu pendukung mafia koruptor dan penista agama para gerombolan banci titot lakukan bidikan ke arah,2;
indonesia jika salah sudah di kuasai cina mas,2;
kpk bubarkan,2;
sepertinya dia dari nu cabang kristen,2;
pencipta hoaxs iya presiden dan wakilnya,2;
antek komunis teriak komunis,2;
ganyang partai komunis indonesia kenapa kalian harus hapus lambang partai komunis indonesia di film apa kalian telah di intimidasi komunis dan antek partai komunis indonesia seperti hantu,2;
partai plus konco kamu bisanya cuma buat malu indonesia min mbok iya jika bodoh itu kebangetan min,2;
nah tahu sendiri jaman megawatu korupsi nya dikit jaman surabaya,2;
pak tujuan hidup muslim beribadat ke alah swt bertentangan kepentingan bangsa negara,2;
maklum rezim anti islam,2;
ratusan masa ormas islam geruduk jakarta ganyang partai komunis indonesia,2;
lebih baik presidenku ada kerjanyawalaupun nyinyir kaumu cuma gunting pitaskarang junjunanmu jadi presiden yakin bisa bangun infrastrukturyakin ngutang lgkl ngutang yakin buat rakyatmending pak jokowi sudah ter,2;
ada aneh bapak jika kpk di bubarkan ot maling rakyat siapa,2;
ini apa sih universitas ini ngedown terus celana dalam banget kesal aku,2;
bangkai aku rajin bayar kamu pernah benar tarif naik,2;
amin iya rab tolong indonesia iya alah yang lebih baik,2;
tolong pak dokter bantu periksa kirakira penyakit apa diderita oleh pak polisi kenapa kok sama tulisan gantipresiden alergi dimedan juga katanya begitu mungkin ini wabah khusus diderita para polisi kitaplease,2;
tka cina memang dimanja,2;
cuma usir percuma pak nasionalis bidang ekonomi sampai ekonomi dimonopoli cina total sekarang hancur ri,2;
menteri perdagangan kan cinasdh numpang cari makan dan hidup di indonesia masih mau cari perkara sama pribumi usir dia dari nkri,2;
hti memang perlu di bubarkan,2;
milanisti sialan,2;
sialan complain rag ditangepi fuck,2;
habis gelap terbitlah terang road gantipresiden harikartini,2;
cebong terancam musnah sih,2;
takut sekali rezim ini gantipresiden dselidiki kayak jatuhnya helikopter pngangkut warga china,2;
memilih pasti cebong dan para pemghuni dunia gaib tadz yang biasa jika komen jorok,2;
setya novanto lebih kebal dari madara sepertinya jika entar mati juga edotensei lagi,2;
kemacetan makin mengila karena pertumbuhan mobilmotor dari pertumbuhan jalan ganti presidenpun tidak akan bisa kurangi kemacetan ini tapi ganti presiden minimal bisa mengurangi kemacetan lain jadi tetap gantipresiden,2;
jebret letjen purn suryo prabowo inisiator isu bohong bermula dari esemka,2;
nanti kalau pak prabowo jadi presiden sikap sih pendekar kuping ini akan berubah haluan,2;
jaman pak harto anak berprestasi di perhatikanklu jaman rezim yang berlebihan di pangil ke istananrezim anehn gantipresiden,2;
